renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,renovation_cost,pre_renovation_cost,post_renovation_value,location
"[""Bathroom"", ""Other/Custom""]",0,1,490,0.0,high-end,0,3938,82564.05,939608.77,994423.939225,864290.96920644
"[""Bathroom"", ""Living room""]",0,1,512,301.0,mid-range,1,4011,87140.98000000001,548875.07,592790.7308,585322.9444696801
"[""Full renovation""]",2,1,1381,0.0,mid-range,0,1381,126206.85,394029.77,451516.2674,473835.47798471845
"[""Bathroom"", ""Kitchen""]",0,1,390,0.0,mid-range,0,1374,58037.95,478731.2,525737.02625,512787.1344803147
"[""Bedroom"", ""Bathroom""]",4,2,1409,473.0,budget-friendly,1,2243,231351.54,417395.19,493048.06818749994,442311.88738048566
"[""Bedroom"", ""Kitchen""]",2,0,753,183.44289044289044,mid-range,1,1148,93241.21,173647.05,209244.69524999996,337972.4055670806
"[""Full renovation""]",5,2,3262,0.0,mid-range,0,3262,299229.76,631850.71,754541.3663499998,456784.7012993054
"[""Bedroom"", ""Living room""]",6,0,2068,0.0,mid-range,0,3274,261952.39,644506.66,735005.2830999999,764615.9502687944
"[""Bathroom"", ""Other/Custom""]",0,1,487,0.0,high-end,0,4426,85514.08,1093866.79,1154261.0844999999,857843.3948752978
"[""Bedroom"", ""Bathroom""]",5,2,1728,322.0,mid-range,1,3016,276166.29000000004,931975.76,1046335.6292428572,918049.8174818624
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",6,3,2329,302.0,mid-range,1,3289,388925.04,656777.4,798641.3184,453214.30405612406
"[""Bathroom"", ""Living room""]",0,1,448,0.0,mid-range,0,3154,76895.17,583020.8,624733.4025500001,635761.4082269554
"[""Bedroom"", ""Bathroom"", ""Living room""]",5,2,2083,644.0,budget-friendly,1,2673,314908.6000000001,558077.04,660623.6961000001,453214.30405612406
"[""Bathroom"", ""Other/Custom""]",0,1,504,0.0,mid-range,0,4303,77393.64,1019027.32,1073977.1362,857843.3948752978
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",7,4,2941,644.0,mid-range,1,4147,514002.79,553277.64,658746.1901250001,584356.9210885423
"[""Kitchen"", ""Other/Custom""]",0,0,694,301.0,high-end,1,2862,104284.91,816671.15,887835.37205,718133.5629715051
"[""Bedroom"", ""Living room""]",6,0,2003,301.0,mid-range,1,3364,285854.65,656619.27,757125.3194785714,748385.3759477742
"[""Bedroom"", ""Bathroom"", ""Living room""]",1,1,452,0.0,budget-friendly,0,934,63159.48,320401.58,349277.2688,362556.9047908152
"[""Living room"", ""Kitchen""]",0,0,785,0.0,budget-friendly,0,1816,73577.98,588912.22,638038.4987499999,549548.3606077654
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1160,301.0,mid-range,1,1688,127045.41,513222.72,576337.0465499999,518778.0673718569
"[""Living room"", ""Kitchen""]",0,0,700,301.0,high-end,1,2636,92783.25,523943.74,577443.806425,633749.447976567
"[""Kitchen"", ""Other/Custom""]",0,0,829,301.0,budget-friendly,1,1714,77840.83,538949.41,586554.38245,512787.1344803147
"[""Living room"", ""Kitchen""]",0,0,745,0.0,mid-range,0,1511,62793.04000000001,484639.48,526228.0642,924298.1851105052
"[""Bathroom"", ""Other/Custom""]",0,1,499,0.0,budget-friendly,0,1770,75084.43,331266.28,364292.730625,442311.88738048566
"[""Bedroom"", ""Bathroom""]",3,1,964,0.0,budget-friendly,0,1798,148184.91999999998,584685.72,647793.1545000001,518778.0673718569
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",1,1,388,0.0,budget-friendly,0,814,63625.34,208612.93,240535.43449999997,257189.58842055334
"[""Bedroom"", ""Kitchen""]",2,0,889,623.0,mid-range,1,1720,141650.72,562473.62,633113.1633,474032.3731833224
"[""Bathroom"", ""Living room""]",0,1,496,0.0,high-end,0,2191,89244.17000000001,546662.1,592512.5390999999,588676.7985449556
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,791,165.51048951048952,mid-range,1,1170,112335.58,258283.51,309166.2283,259110.37473145
"[""Bathroom"", ""Kitchen""]",0,1,449,301.0,budget-friendly,1,2380,80172.13,586859.74,646122.9634,607003.9708666095
"[""Bedroom"", ""Bathroom"", ""Living room""]",5,3,2046,623.0,mid-range,1,2538,354146.23999999993,496617.16,588491.3346,748385.3759477742
"[""Full renovation""]",1,1,848,0.0,budget-friendly,0,848,75530.32,281609.03,316940.53235,467907.5515662078
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1186,301.0,mid-range,1,2288,135711.48,333600.54,391361.6804999999,333612.3852677651
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",8,4,3093,1267.0,mid-range,1,3802,571652.32,524083.21,639583.0866653847,584356.9210885423
"[""Living room"", ""Kitchen""]",0,0,584,0.0,mid-range,0,1463,59758.100000000006,405409.71,442476.94844999997,419376.4300117418
"[""Kitchen"", ""Other/Custom""]",0,0,792,0.0,high-end,0,2001,91581.68,498360.34,551008.5096999999,590999.7312847051
"[""Bedroom"", ""Living room""]",2,0,732,185.7762237762238,mid-range,1,1308,80508.62,423869.96,455588.22469999996,515996.1562416109
"[""Bedroom"", ""Kitchen""]",3,0,1169,0.0,mid-range,0,2097,160835.7,413581.44,482855.8503,460825.5934515108
"[""Bedroom"", ""Bathroom""]",4,2,1332,151.0,mid-range,1,2680,239750.29,494982.03,585352.8322500001,634424.3807046467
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",6,4,2683,322.0,mid-range,1,3048,432912.32000000007,585223.52,694154.8979272728,742739.9151843397
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1094,0.0,mid-range,0,2577,126655.47,492130.58,554806.2065,632017.9335746003
"[""Full renovation""]",7,4,4081,301.0,high-end,1,4081,458366.66,794432.63,961263.4823,748385.3759477742
"[""Full renovation""]",6,3,3613,0.0,mid-range,0,3613,368015.72,467325.56,561958.9859,584499.0331593506
"[""Bedroom"", ""Bathroom"", ""Living room""]",5,3,2116,151.0,mid-range,1,3013,342424.18,620447.65,735230.46525,768096.9796926685
"[""Bedroom"", ""Kitchen""]",4,0,1483,644.0,mid-range,1,2314,212651.55,683558.77,781304.1529,722057.5300960252
"[""Bedroom"", ""Bathroom"", ""Living room""]",4,2,1608,151.0,mid-range,1,2391,270501.02,674196.84,779050.9214571429,715063.674403916
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1220,0.0,mid-range,0,1679,126655.47,505446.94,568721.8026999999,924298.1851105052
"[""Bedroom"", ""Kitchen""]",1,0,338,142.82242990654206,mid-range,1,853,48854.01,305172.13,334293.889,467907.5515662078
"[""Bedroom"", ""Kitchen""]",3,0,1157,0.0,mid-range,0,1900,166103.05,545014.98,622486.0012874999,722057.5300960252
"[""Full renovation""]",8,4,4033,0.0,high-end,0,4033,487958.5,1218771.13,1434642.1358499997,924298.1851105052
"[""Living room"", ""Other/Custom""]",0,0,384,141.97196261682242,mid-range,1,1007,50419.740000000005,251943.87,271605.24615,257189.58842055334
"[""Kitchen"", ""Other/Custom""]",0,0,702,0.0,mid-range,0,3815,79200.85,748966.39,807618.1453,748201.1019928089
"[""Living room"", ""Kitchen""]",0,0,747,0.0,budget-friendly,0,2905,70935.8,865072.05,925281.03225,724209.6059686558
"[""Bathroom"", ""Living room""]",0,1,509,0.0,budget-friendly,0,2225,72097.68,716194.52,759850.3922000001,551406.6991672434
"[""Living room"", ""Other/Custom""]",0,0,763,0.0,mid-range,0,1640,78729.42,318705.88,348286.23549999995,442311.88738048566
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",8,4,3071,795.0,mid-range,1,3847,538535.18,496019.31,604189.6749115385,583628.098793705
"[""Living room"", ""Other/Custom""]",0,0,653,301.0,budget-friendly,1,1767,77840.83,500415.54,531274.0221,715063.674403916
"[""Bathroom"", ""Kitchen""]",0,1,527,301.0,budget-friendly,1,2052,80172.13,398010.51,445942.7796,441299.58650862484
"[""Living room"", ""Kitchen""]",0,0,724,301.0,mid-range,1,3420,85280.5,1030278.47,1103504.3586499998,918049.8174818624
"[""Bedroom"", ""Kitchen""]",1,0,333,0.0,high-end,0,903,50030.81,222922.46,249088.906925,258538.89048027052
"[""Bedroom"", ""Bathroom"", ""Living room""]",7,3,2856,473.0,mid-range,1,3738,467977.51,479400.77,570595.8710204546,583628.098793705
"[""Living room"", ""Kitchen""]",0,0,376,0.0,high-end,0,906,53371.51,313304.65,344615.671225,359371.8741154736
"[""Bedroom"", ""Bathroom""]",3,1,940,0.0,budget-friendly,0,1703,139768.82,547109.34,605453.2662000001,517533.77259986603
"[""Full renovation""]",3,2,1857,0.0,high-end,0,1857,246636.53,290254.78,351208.28380000003,329482.05229326704
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1209,301.0,mid-range,1,3050,126494.11,555490.06,620332.75735,748385.3759477742
"[""Kitchen"", ""Other/Custom""]",0,0,521,0.0,high-end,0,1104,56798.72,325235.04,358188.20399999997,476497.9429147776
"[""Bedroom"", ""Living room""]",4,0,1450,644.0,mid-range,1,2572,207972.07,484746.55,556905.03409,748385.3759477742
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",5,3,2263,302.0,mid-range,1,2444,360691.03,808246.48,970358.9432500001,549548.3606077654
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",6,3,2402,452.0,mid-range,1,2926,384519.99,574225.36,697396.69972,460825.5934515108
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",1,1,449,164.41121495327104,mid-range,1,1018,81686.3,229665.24,269584.7704,259451.67101114738
"[""Bedroom"", ""Bathroom"", ""Living room""]",4,2,1724,0.0,mid-range,0,1883,280470.60000000003,364541.06,433283.0884571429,441299.58650862484
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",4,2,1814,301.0,mid-range,1,2154,302531.58999999997,545914.61,665235.9461857143,864290.96920644
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",5,4,2254,623.0,mid-range,1,2673,408605.92,486229.46,577032.811655,633749.447976567
"[""Bedroom"", ""Bathroom"", ""Living room""]",1,1,448,0.0,mid-range,0,1012,70856.26,277986.38,308645.6933,471878.99087377987
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,1178,0.0,budget-friendly,0,1538,104070.43,476956.98,522877.0825125,518778.0673718569
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,1,1393,301.0,mid-range,1,1828,222681.98,498124.34,598824.67004,586295.9356004093
"[""Living room"", ""Kitchen""]",0,0,741,0.0,high-end,0,1984,90522.38,545505.92,599926.0718,480164.60953967203
"[""Bedroom"", ""Living room""]",5,0,1926,966.0,mid-range,1,2668,256923.05,778833.36,870804.3135249999,724209.6059686558
"[""Bathroom"", ""Kitchen""]",0,1,540,0.0,budget-friendly,0,3756,70077.98,496264.74,547064.0184,585322.9444696801
"[""Bedroom"", ""Living room""]",9,0,2885,1288.0,mid-range,1,4773,411736.09,1101217.57,1245579.889495,898392.8709650495
"[""Bedroom"", ""Other/Custom""]",1,0,510,152.88111888111888,budget-friendly,1,1084,48532.119999999995,360469.92,380800.59569999995,361017.265710204
"[""Bedroom"", ""Bathroom"", ""Living room""]",6,4,2547,774.0,mid-range,1,3631,463113.71,889897.51,1057966.7897295456,891671.9944522413
"[""Full renovation""]",3,2,2063,0.0,budget-friendly,0,2063,227225.3,574557.89,668580.58505,471878.99087377987
"[""Bedroom"", ""Bathroom""]",2,1,569,497.2540792540793,mid-range,1,1263,83395.72,260590.34,294677.702,456784.7012993054
"[""Bedroom"", ""Kitchen""]",3,0,1232,322.0,mid-range,1,1779,170467.12,525130.49,603097.7565499999,724209.6059686558
"[""Bathroom"", ""Kitchen""]",0,1,398,0.0,mid-range,0,1390,58037.95,480477.16,527587.74385,512787.1344803147
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1057,301.0,high-end,1,3167,143469.49,595657.54,669807.061,768381.9144879236
"[""Full renovation""]",2,1,1747,0.0,high-end,0,1747,178367.83,558215.27,642196.3410499999,562615.8913025274
"[""Bathroom"", ""Living room""]",0,1,471,301.0,budget-friendly,1,1973,83391.45000000001,530763.39,572329.1625750001,420882.7322267811
"[""Bathroom"", ""Kitchen""]",0,1,450,301.0,high-end,1,1695,107339.48,477903.02,541999.2296000001,718133.5629715051
"[""Bedroom"", ""Other/Custom""]",2,0,711,391.31235431235433,mid-range,1,1302,81812.42,341459.58,371943.32389999996,426006.7205032061
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",5,3,2112,322.0,mid-range,1,3408,357269.50999999995,664021.64,788525.6975,770940.0264432136
"[""Bedroom"", ""Other/Custom""]",4,0,1553,301.0,high-end,1,2153,220050.93,431952.79,509056.36301499995,442581.28692691075
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,1004,322.0,mid-range,1,1547,120757.73,415949.58,478945.23975000007,468125.1879910406
"[""Bedroom"", ""Other/Custom""]",6,0,1970,623.0,mid-range,1,3744,299149.23,473175.84,555812.6206285715,583917.6428237398
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1092,0.0,mid-range,0,3058,114357.51,577086.63,638506.35645,635761.4082269554
"[""Bedroom"", ""Other/Custom""]",1,0,259,234.946949602122,budget-friendly,1,736,44557.96,281940.75,299871.43395,470718.2613586728
"[""Bedroom"", ""Other/Custom""]",3,0,1248,0.0,mid-range,0,1909,162167.39,486570.22,545559.6288625,586295.9356004093
"[""Bedroom"", ""Living room""]",1,0,259,0.0,high-end,0,734,49142.77,180112.83,198663.06577499997,258778.52985726285
"[""Kitchen"", ""Other/Custom""]",0,0,588,0.0,mid-range,0,1411,53020.57,430125.51,466182.6375,468125.1879910406
"[""Kitchen"", ""Other/Custom""]",0,0,829,0.0,mid-range,0,1857,80356.15,370979.68,412985.95285,440857.28859962634
"[""Bathroom"", ""Living room""]",0,1,518,0.0,budget-friendly,0,7200,69455.5,2791598.02,2896182.6106000002,2500823.911981166
"[""Kitchen"", ""Other/Custom""]",0,0,746,301.0,budget-friendly,1,1723,80483.01,530736.86,579368.5442749999,467907.5515662078
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",8,5,3366,1117.0,mid-range,1,4135,593955.4600000001,791961.48,965061.6320571429,742739.9151843397
"[""Living room"", ""Other/Custom""]",0,0,702,0.0,budget-friendly,0,6984,70313.32,2478016.47,2536280.71305,2492746.2538584336
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",6,3,2414,322.0,mid-range,1,3648,402042.02,485080.25,576032.796875,585322.9444696801
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,833,200.74825174825173,mid-range,1,1264,112410.51,381703.14,428985.0842625,517533.77259986603
"[""Bathroom"", ""Kitchen""]",0,1,478,0.0,budget-friendly,0,3272,75248.39,674395.92,737998.5551250001,768381.9144879236
"[""Bedroom"", ""Kitchen""]",4,0,1421,945.0,mid-range,1,2319,215001.11,695555.58,793935.9274199998,926886.3923402497
"[""Bathroom"", ""Other/Custom""]",0,1,179,0.0,high-end,0,517,47958.44,189093.92,210233.3345,549548.3606077654
"[""Kitchen"", ""Other/Custom""]",0,0,735,0.0,budget-friendly,0,2686,74992.8,516268.17,562560.5236499999,635761.4082269554
"[""Bathroom"", ""Kitchen""]",0,1,356,245.46153846153845,high-end,1,1111,65279.43,369786.89,413026.719575,515996.1562416109
"[""Bedroom"", ""Kitchen""]",9,0,2974,623.0,mid-range,1,4481,400202.57000000007,1127278.02,1302868.73274,857843.3948752978
"[""Bedroom"", ""Other/Custom""]",7,0,2444,0.0,mid-range,0,3865,317691.85,506704.07,594585.557140625,584356.9210885423
"[""Full renovation""]",2,1,1535,0.0,budget-friendly,0,1535,117933.4,496180.72,553888.8724,515996.1562416109
"[""Bathroom"", ""Kitchen""]",0,1,511,151.0,high-end,1,2669,93723.54,623848.04,691504.76405,884761.8567269483
"[""Living room"", ""Kitchen""]",0,0,600,0.0,budget-friendly,0,1212,51862.89,392867.32,426494.188075,518778.0673718569
"[""Bathroom"", ""Living room""]",0,1,189,0.0,mid-range,0,660,44076.38,259902.78,281583.9231,549128.4854811856
"[""Bedroom"", ""Bathroom""]",2,1,419,0.0,high-end,0,1020,77985.2,302805.65,337235.00950000004,361017.265710204
"[""Bathroom"", ""Kitchen""]",0,1,410,106.23776223776224,high-end,1,1471,66724.58,241772.35,278297.80240000004,337972.4055670806
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",4,2,1655,644.0,mid-range,1,2192,287084.73,739593.09,873785.1837857142,549128.4854811856
"[""Bedroom"", ""Bathroom""]",3,2,1145,151.0,mid-range,1,1599,144980.04,488550.36,548875.5834,518778.0673718569
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,869,328.5547785547785,mid-range,1,1424,115985.51,207911.5,246894.90625,339023.3062412534
"[""Bathroom"", ""Kitchen""]",0,1,273,138.83177570093457,high-end,1,983,56250.55,342114.16,381203.6911,359371.8741154736
"[""Bedroom"", ""Other/Custom""]",1,0,328,0.0,budget-friendly,0,931,44677.73,234757.32,252017.08177499997,258538.89048027052
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,1107,301.0,high-end,1,1620,176851.53,312313.0,381412.25125,438354.1998740959
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1204,0.0,mid-range,0,4412,118565.56,1016188.81,1099265.4578500001,864290.96920644
"[""Kitchen"", ""Other/Custom""]",0,0,718,0.0,budget-friendly,0,3441,74992.8,1002763.3,1070947.9345,918049.8174818624
"[""Bedroom"", ""Bathroom""]",1,1,193,64.27055702917772,high-end,1,729,48192.77,169956.79,190597.66202500003,259110.37473145
"[""Bedroom"", ""Other/Custom""]",2,0,688,379.76689976689977,budget-friendly,1,1263,80886.41,320341.74,349817.22114999994,607003.9708666095
"[""Bedroom"", ""Kitchen""]",2,0,715,377.3986013986014,mid-range,1,1255,92031.24,307606.07,350438.18375,611849.4788960892
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,2,1749,644.0,mid-range,1,2368,287345.11,713062.57,823736.6777071428,722057.5300960252
"[""Kitchen"", ""Other/Custom""]",0,0,753,301.0,mid-range,1,4179,96346.77,557136.12,612556.47795,583917.6428237398
"[""Bedroom"", ""Living room""]",5,0,1838,623.0,mid-range,1,2957,242349.22000000003,557197.34,640683.5582999999,749690.1337423729
"[""Bedroom"", ""Bathroom""]",3,1,1079,0.0,mid-range,0,1793,158740.24,477773.39,541514.4914,419376.4300117418
"[""Living room"", ""Kitchen""]",0,0,758,0.0,budget-friendly,0,2034,73874.43,510925.48,556079.4556,589379.4798394532
"[""Bedroom"", ""Bathroom"", ""Living room""]",4,3,1900,322.0,mid-range,1,2331,328956.04000000004,566950.35,673253.540625,611849.4788960892
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",4,2,1819,966.0,mid-range,1,2088,316274.88,505642.67,617245.2307357142,593131.0463311035
"[""Bedroom"", ""Other/Custom""]",2,0,890,322.0,budget-friendly,1,1539,82859.78,497963.51,530705.19555,512787.1344803147
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,378,175.9655172413793,high-end,1,403,78824.4,126393.51,152620.163325,549128.4854811856
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,3,1878,473.0,mid-range,1,2774,330816.94,692567.78,817552.1495,593131.0463311035
"[""Bathroom"", ""Kitchen""]",0,1,466,0.0,high-end,0,4280,94636.25,1084413.8,1180708.5905000002,864290.96920644
"[""Bedroom"", ""Other/Custom""]",3,0,1278,644.0,mid-range,1,2113,164057.27,706477.45,768137.4370374999,474032.3731833224
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,1,364,109.65420560747664,budget-friendly,1,760,63238.67,255070.7,282010.61535,474032.3731833224
"[""Living room"", ""Other/Custom""]",0,0,678,301.0,high-end,1,2086,92931.41,561441.65,599833.6544749999,419376.4300117418
"[""Bathroom"", ""Kitchen""]",0,1,559,151.0,high-end,1,2035,93723.54,517007.21,578253.48425,884761.8567269483
"[""Full renovation""]",6,5,3358,0.0,budget-friendly,0,3358,433583.17999999993,638480.02,762983.6238999999,742739.9151843397
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",7,4,2841,301.0,mid-range,1,4199,463559.37999999995,565040.28,686523.9402000001,583917.6428237398
"[""Living room"", ""Other/Custom""]",0,0,813,602.0,mid-range,1,3526,94585.73,873954.35,916858.1701999998,898392.8709650495
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,2,1580,473.0,mid-range,1,1765,243054.17,573288.23,666441.305025,515996.1562416109
"[""Full renovation""]",6,3,3612,0.0,budget-friendly,0,3612,365177.96,705082.14,842573.1572999998,749690.1337423729
"[""Full renovation""]",3,1,1822,0.0,high-end,0,1822,212433.92,461669.6,552547.9256,589379.4798394532
"[""Living room"", ""Other/Custom""]",0,0,721,301.0,high-end,1,1609,92931.41,246722.64,280393.85932499997,334674.9581336589
"[""Bedroom"", ""Kitchen""]",4,0,1445,322.0,mid-range,1,2331,197336.95,692787.47,784940.0236999999,729059.2861618154
"[""Bathroom"", ""Living room""]",0,1,364,0.0,budget-friendly,0,1193,51937.759999999995,304887.25,330004.72870000004,257189.58842055334
"[""Bedroom"", ""Kitchen""]",3,0,1324,0.0,mid-range,0,1831,166103.05,512125.81,588116.8186374999,729059.2861618154
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,986,0.0,budget-friendly,0,2136,110487.51,416984.82,468895.3899,438354.1998740959
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",8,4,3114,1740.0,mid-range,1,4061,533303.48,782197.9,926603.6661538462,748201.1019928089
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,1,325,107.60079575596816,mid-range,1,747,69094.09,174972.73,201986.55025,259110.37473145
"[""Bedroom"", ""Bathroom""]",3,1,988,644.0,high-end,1,1688,177572.19999999998,446205.98,516859.1939,480164.60953967203
"[""Bathroom"", ""Kitchen""]",0,1,450,151.0,mid-range,1,2182,91148.75,589105.49,653163.67565,586295.9356004093
"[""Living room"", ""Kitchen""]",0,0,378,0.0,high-end,0,929,53371.51,268622.58,297922.908075,420882.7322267811
"[""Bedroom"", ""Living room""]",1,0,346,0.0,high-end,0,879,49142.77,207338.04,226296.653925,258538.89048027052
"[""Bedroom"", ""Kitchen""]",2,0,747,194.14685314685315,mid-range,1,1365,83934.08,336620.16,377787.6319999999,599125.9764701508
"[""Bathroom"", ""Kitchen""]",0,1,541,0.0,mid-range,0,2079,84206.6,396676.45,447002.11600000004,440857.28859962634
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,852,210.14685314685315,high-end,1,1327,125354.01,417910.01,483411.27882500004,512787.1344803147
"[""Bedroom"", ""Bathroom"", ""Living room""]",5,4,2274,473.0,mid-range,1,3289,386952.73,789014.49,932253.31827,898392.8709650495
"[""Bedroom"", ""Kitchen""]",3,0,1210,322.0,budget-friendly,1,2057,160266.34,532080.24,605305.75035,588676.7985449556
"[""Bathroom"", ""Living room""]",0,1,492,0.0,mid-range,0,1697,77393.64,533175.59,573549.8543,518778.0673718569
"[""Bathroom"", ""Kitchen""]",0,1,283,0.0,mid-range,0,993,44909.67999999999,290628.54,322212.8016,426006.7205032061
"[""Living room"", ""Kitchen""]",0,0,731,0.0,mid-range,0,3392,83082.71,700125.76,757802.47285,764427.3883938657
"[""Living room"", ""Other/Custom""]",0,0,757,0.0,mid-range,0,1524,57989.68,418209.01,442748.89435,420882.7322267811
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1199,0.0,high-end,0,1756,130946.39,543159.14,610158.8780499999,512787.1344803147
"[""Living room"", ""Kitchen""]",0,0,732,0.0,mid-range,0,2449,83643.54000000001,742866.75,802643.4688499998,722057.5300960252
"[""Bedroom"", ""Living room""]",3,0,1235,322.0,mid-range,1,1782,160300.34000000003,550011.93,608155.589775,515996.1562416109
"[""Bathroom"", ""Other/Custom""]",0,1,505,0.0,high-end,0,2585,82065.58,494372.74,535670.07175,636523.1519029945
"[""Bathroom"", ""Kitchen""]",0,1,458,301.0,mid-range,1,3757,95488.95,939378.98,1025820.7380499999,884761.8567269483
"[""Bedroom"", ""Bathroom""]",7,3,2311,322.0,mid-range,1,3679,392095.18,714396.26,847273.96436,764615.9502687944
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,552,0.0,mid-range,0,927,67696.28,267253.96,300266.235,426006.7205032061
"[""Living room"", ""Kitchen""]",0,0,763,0.0,mid-range,0,6656,83082.71,2397019.96,2531056.91185,2504340.910944834
"[""Bedroom"", ""Other/Custom""]",2,0,745,215.8158508158508,mid-range,1,1365,84420.87,448015.85,480906.5574499999,491813.312765633
"[""Bedroom"", ""Bathroom"", ""Living room""]",4,2,1834,0.0,mid-range,0,2184,287349.12,580975.67,689535.6610142859,593131.0463311035
"[""Bedroom"", ""Bathroom"", ""Living room""]",1,1,425,73.78816199376946,high-end,1,880,74381.01000000001,207100.41,237487.25055,257189.58842055334
"[""Bedroom"", ""Living room""]",1,0,259,0.0,budget-friendly,0,704,44350.95,217824.04,234729.317725,426006.7205032061
"[""Bedroom"", ""Other/Custom""]",2,0,678,175.6853146853147,mid-range,1,1096,76225.22,334899.08,363552.3844,359371.8741154736
"[""Bedroom"", ""Bathroom"", ""Living room""]",1,1,323,0.0,mid-range,0,691,69578.81,246490.77,275454.9242,470718.2613586728
"[""Full renovation""]",1,1,828,118.55140186915888,budget-friendly,1,828,75530.32,192613.01,223939.69145,258538.89048027052
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,1,1209,151.0,mid-range,1,2140,193585.34,632143.12,711506.03968,715063.674403916
"[""Living room"", ""Other/Custom""]",0,0,398,0.0,budget-friendly,0,1066,45713.7,291389.07,309474.01605,599125.9764701508
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",6,4,2582,795.0,mid-range,1,3336,456778.9,692676.22,823497.5697318182,770940.0264432136
"[""Bedroom"", ""Bathroom"", ""Living room""]",1,1,440,209.38006230529595,mid-range,1,933,66265.81,242321.69,270133.7418,611849.4788960892
"[""Bedroom"", ""Kitchen""]",1,0,334,0.0,high-end,0,780,53131.26,174257.63,199234.0547,453214.30405612406
"[""Bathroom"", ""Kitchen""]",0,1,463,151.0,budget-friendly,1,1924,77956.98999999999,524917.23,580384.038225,589670.1151351548
"[""Living room"", ""Kitchen""]",0,0,816,0.0,mid-range,0,3089,79200.85,613228.73,665772.2906,632017.9335746003
"[""Bedroom"", ""Kitchen""]",1,0,254,0.0,high-end,0,665,49575.11,226249.56,252418.76317499997,551406.6991672434
"[""Bedroom"", ""Other/Custom""]",5,0,1739,945.0,mid-range,1,3407,264081.68000000005,844167.6,940676.0473999999,864290.96920644
"[""Bedroom"", ""Bathroom""]",1,1,250,0.0,high-end,0,910,49004.78,278413.23,302569.66845,480164.60953967203
"[""Living room"", ""Kitchen""]",0,0,397,148.6448598130841,budget-friendly,1,1058,46120.259999999995,351570.05,381226.78025,359371.8741154736
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",7,5,2988,1096.0,mid-range,1,3629,532423.7,712108.18,845217.6321076924,748201.1019928089
"[""Kitchen"", ""Other/Custom""]",0,0,624,301.0,budget-friendly,1,4149,77840.83,1286201.86,1367433.1927,910626.421425757
"[""Living room"", ""Kitchen""]",0,0,355,0.0,high-end,0,848,52924.25,186554.62,212017.648525,473663.46079924994
"[""Bedroom"", ""Bathroom""]",1,1,221,0.0,high-end,0,810,51867.82000000001,194270.11,217214.59389999998,258538.89048027052
"[""Bathroom"", ""Kitchen""]",0,1,456,301.0,high-end,1,2822,94392.02,677856.56,748969.3800500002,857843.3948752978
"[""Living room"", ""Other/Custom""]",0,0,692,0.0,mid-range,0,2192,78729.42,571844.56,605221.9957000001,426006.7205032061
