renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,Location
"[""Bathroom"", ""Living room""]",0,3,"{""bedrooms"": [], ""bathrooms"": [52, 72, 43], ""other"": {""Living room"": 54}}","[""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [60, 84, 89], ""other"": {""Living room"": 291}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Mid-range"", ""Budget-friendly""], ""other"": {""Living room"": ""Mid-range""}}",1126,Withington
"[""Bedroom""]",2,0,"{""bedrooms"": [66, 108], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""No""]","{""bedrooms"": [85, 113], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {}}",747,Bury
"[""Living room"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 219, ""Other"": 226}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 116, ""Other"": 102}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Other"": ""Budget-friendly""}}",1700,Rochdale
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 105}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 156}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end""}}",1272,Altrincham
"[""Kitchen"", ""Living room"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 96, ""Living room"": 276, ""Other"": 84}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 138, ""Living room"": 297, ""Other"": 124}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range"", ""Living room"": ""High-end"", ""Other"": ""Budget-friendly""}}",1357,Chorlton
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 288}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 260}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}",824,Bury
"[""Bedroom"", ""Kitchen""]",1,0,"{""bedrooms"": [154], ""bathrooms"": [], ""other"": {""Kitchen"": 291}}","[""Yes"", ""No""]","{""bedrooms"": [187], ""bathrooms"": [], ""other"": {""Kitchen"": 123}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",1529,Ashton-under-Lyne
"[""Bedroom""]",2,0,"{""bedrooms"": [143, 70], ""bathrooms"": [], ""other"": {}}","[""No"", ""No""]","{""bedrooms"": [122, 180], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {}}",750,Stretford
"[""Kitchen"", ""Bedroom"", ""Living room""]",1,0,"{""bedrooms"": [142], ""bathrooms"": [], ""other"": {""Kitchen"": 88, ""Living room"": 127}}","[""Yes"", ""Yes"", ""No""]","{""bedrooms"": [121], ""bathrooms"": [], ""other"": {""Kitchen"": 134, ""Living room"": 226}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Living room"": ""High-end""}}",1792,Bolton
"[""Bathroom"", ""Kitchen"", ""Other""]",0,2,"{""bedrooms"": [], ""bathrooms"": [53, 3], ""other"": {""Kitchen"": 20, ""Other"": 57}}","[""Yes"", ""No"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [39, 51], ""other"": {""Kitchen"": 175, ""Other"": 92}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""High-end""], ""other"": {""Kitchen"": ""Mid-range"", ""Other"": ""Budget-friendly""}}",1322,Tameside
"[""Other"", ""Bathroom"", ""Kitchen""]",0,3,"{""bedrooms"": [], ""bathrooms"": [78, 15, 27], ""other"": {""Other"": 79, ""Kitchen"": 9}}","[""No"", ""Yes"", ""No"", ""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [90, 81, 84], ""other"": {""Other"": 85, ""Kitchen"": 91}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""High-end"", ""High-end""], ""other"": {""Other"": ""High-end"", ""Kitchen"": ""Mid-range""}}",920,Tameside
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 14}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 84}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}",642,Salford
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 241}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 92}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}",1270,Didsbury
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 82}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 169}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly""}}",793,Ashton-under-Lyne
"[""Bathroom"", ""Living room""]",0,2,"{""bedrooms"": [], ""bathrooms"": [12, 10], ""other"": {""Living room"": 166}}","[""No"", ""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [65, 49], ""other"": {""Living room"": 198}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Budget-friendly""], ""other"": {""Living room"": ""Budget-friendly""}}",848,Salford
"[""Kitchen"", ""Bedroom"", ""Living room""]",1,0,"{""bedrooms"": [128], ""bathrooms"": [], ""other"": {""Kitchen"": 136, ""Living room"": 63}}","[""No"", ""Yes"", ""Yes""]","{""bedrooms"": [85], ""bathrooms"": [], ""other"": {""Kitchen"": 218, ""Living room"": 246}}","{""bedrooms"": [""High-end""], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Living room"": ""Mid-range""}}",1460,Oldham
"[""Bedroom"", ""Living room""]",4,0,"{""bedrooms"": [131, 180, 45, 167], ""bathrooms"": [], ""other"": {""Living room"": 259}}","[""Yes"", ""Yes"", ""Yes"", ""No"", ""Yes""]","{""bedrooms"": [92, 107, 149, 91], ""bathrooms"": [], ""other"": {""Living room"": 208}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}",1800,Stockport
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 126}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 94}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",926,Tameside
"[""Kitchen"", ""Other"", ""Bedroom""]",1,0,"{""bedrooms"": [13], ""bathrooms"": [], ""other"": {""Kitchen"": 132, ""Other"": 180}}","[""No"", ""No"", ""Yes""]","{""bedrooms"": [127], ""bathrooms"": [], ""other"": {""Kitchen"": 119, ""Other"": 265}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range"", ""Other"": ""High-end""}}",904,Wigan
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 284}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 82}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}",1424,Altrincham
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 64}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 217}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",1316,Sale
"[""Bathroom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [31, 9], ""other"": {}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [86, 48], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Budget-friendly""], ""other"": {}}",1538,Tameside
"[""Other"", ""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 99, ""Living room"": 154}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 109, ""Living room"": 271}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end"", ""Living room"": ""Mid-range""}}",825,Sale
"[""Kitchen"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 133, ""Other"": 3}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 229, ""Other"": 107}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Other"": ""High-end""}}",752,Stretford
"[""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [25, 16, 68], ""other"": {}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [70, 80, 78], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Budget-friendly"", ""High-end""], ""other"": {}}",840,Didsbury
"[""Bathroom"", ""Other""]",0,2,"{""bedrooms"": [], ""bathrooms"": [50, 19], ""other"": {""Other"": 203}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [43, 99], ""other"": {""Other"": 252}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Budget-friendly""], ""other"": {""Other"": ""Budget-friendly""}}",1505,Rochdale
"[""Other"", ""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 45, ""Living room"": 218, ""Kitchen"": 75}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 147, ""Living room"": 80, ""Kitchen"": 141}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end"", ""Living room"": ""Budget-friendly"", ""Kitchen"": ""Mid-range""}}",1581,Rochdale
"[""Kitchen"", ""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 252, ""Living room"": 235}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 229, ""Living room"": 144}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Living room"": ""Mid-range""}}",1519,Ashton-under-Lyne
"[""Bedroom"", ""Kitchen""]",1,0,"{""bedrooms"": [118], ""bathrooms"": [], ""other"": {""Kitchen"": 237}}","[""Yes"", ""No""]","{""bedrooms"": [110], ""bathrooms"": [], ""other"": {""Kitchen"": 273}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1000,Wigan
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 243}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 138}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}",751,Didsbury
"[""Bathroom"", ""Kitchen"", ""Bedroom""]",1,2,"{""bedrooms"": [21], ""bathrooms"": [72, 56], ""other"": {""Kitchen"": 151}}","[""No"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [167], ""bathrooms"": [57, 80], ""other"": {""Kitchen"": 156}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [""Mid-range"", ""High-end""], ""other"": {""Kitchen"": ""High-end""}}",1034,Chorlton
"[""Bathroom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [65, 17], ""other"": {}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [58, 64], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Budget-friendly""], ""other"": {}}",977,Sale
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 136}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 110}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",504,Manchester City Centre
"[""Bedroom"", ""Bathroom""]",4,1,"{""bedrooms"": [136, 42, 27, 92], ""bathrooms"": [59], ""other"": {}}","[""Yes"", ""No"", ""No"", ""Yes"", ""Yes""]","{""bedrooms"": [159, 131, 132, 178], ""bathrooms"": [75], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""High-end"", ""High-end"", ""Budget-friendly""], ""bathrooms"": [""High-end""], ""other"": {}}",1175,Withington
"[""Other"", ""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 300, ""Living room"": 140, ""Kitchen"": 173}}","[""Yes"", ""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 144, ""Living room"": 115, ""Kitchen"": 272}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range"", ""Living room"": ""Budget-friendly"", ""Kitchen"": ""High-end""}}",1669,Rochdale
"[""Other"", ""Bathroom"", ""Bedroom""]",4,2,"{""bedrooms"": [37, 108, 117, 18], ""bathrooms"": [9, 52], ""other"": {""Other"": 148}}","[""Yes"", ""Yes"", ""No"", ""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [96, 85, 174, 89], ""bathrooms"": [73, 98], ""other"": {""Other"": 90}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly"", ""High-end"", ""High-end""], ""bathrooms"": [""Budget-friendly"", ""High-end""], ""other"": {""Other"": ""Budget-friendly""}}",1381,Trafford
"[""Bedroom"", ""Living room"", ""Bathroom""]",2,1,"{""bedrooms"": [114, 185], ""bathrooms"": [32], ""other"": {""Living room"": 290}}","[""Yes"", ""Yes"", ""Yes"", ""No""]","{""bedrooms"": [149, 138], ""bathrooms"": [62], ""other"": {""Living room"": 270}}","{""bedrooms"": [""High-end"", ""Mid-range""], ""bathrooms"": [""Budget-friendly""], ""other"": {""Living room"": ""High-end""}}",1812,Sale
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 128}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 211}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",900,Prestwich
"[""Bedroom""]",4,0,"{""bedrooms"": [64, 133, 35, 60], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes"", ""No"", ""No""]","{""bedrooms"": [177, 84, 199, 185], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly"", ""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {}}",1908,Trafford
"[""Kitchen"", ""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [60], ""other"": {""Kitchen"": 162}}","[""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [80], ""other"": {""Kitchen"": 263}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Kitchen"": ""Mid-range""}}",663,Manchester City Centre
"[""Bathroom"", ""Kitchen""]",0,3,"{""bedrooms"": [], ""bathrooms"": [29, 30, 22], ""other"": {""Kitchen"": 108}}","[""No"", ""No"", ""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [44, 59, 48], ""other"": {""Kitchen"": 254}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""High-end"", ""Mid-range""], ""other"": {""Kitchen"": ""High-end""}}",726,Chorlton
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 82}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 277}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end""}}",1499,Oldham
"[""Kitchen"", ""Bedroom""]",2,0,"{""bedrooms"": [180, 188], ""bathrooms"": [], ""other"": {""Kitchen"": 20}}","[""Yes"", ""Yes"", ""No""]","{""bedrooms"": [131, 198], ""bathrooms"": [], ""other"": {""Kitchen"": 192}}","{""bedrooms"": [""High-end"", ""High-end""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1936,Cheadle
"[""Other"", ""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 67, ""Living room"": 93}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 281, ""Living room"": 135}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range"", ""Living room"": ""Budget-friendly""}}",1137,Chorlton
"[""Bedroom"", ""Other"", ""Living room""]",2,0,"{""bedrooms"": [118, 68], ""bathrooms"": [], ""other"": {""Other"": 189, ""Living room"": 40}}","[""Yes"", ""Yes"", ""Yes"", ""No""]","{""bedrooms"": [104, 121], ""bathrooms"": [], ""other"": {""Other"": 119, ""Living room"": 121}}","{""bedrooms"": [""High-end"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly"", ""Living room"": ""High-end""}}",1139,Withington
"[""Bedroom"", ""Living room""]",2,0,"{""bedrooms"": [18, 150], ""bathrooms"": [], ""other"": {""Living room"": 17}}","[""Yes"", ""Yes"", ""No""]","{""bedrooms"": [115, 92], ""bathrooms"": [], ""other"": {""Living room"": 119}}","{""bedrooms"": [""High-end"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}",1359,Didsbury
"[""Bedroom"", ""Bathroom""]",1,1,"{""bedrooms"": [17], ""bathrooms"": [53], ""other"": {}}","[""No"", ""No""]","{""bedrooms"": [156], ""bathrooms"": [48], ""other"": {}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [""Mid-range""], ""other"": {}}",1089,Stretford
"[""Bathroom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [15, 45], ""other"": {}}","[""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [37, 100], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""High-end""], ""other"": {}}",1120,Bolton
"[""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [22], ""other"": {}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [48], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {}}",1288,Withington
"[""Kitchen"", ""Other"", ""Bedroom""]",2,0,"{""bedrooms"": [113, 25], ""bathrooms"": [], ""other"": {""Kitchen"": 79, ""Other"": 116}}","[""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [169, 110], ""bathrooms"": [], ""other"": {""Kitchen"": 252, ""Other"": 83}}","{""bedrooms"": [""High-end"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Other"": ""High-end""}}",968,Sale
"[""Living room"", ""Bedroom"", ""Bathroom""]",3,3,"{""bedrooms"": [20, 54, 181], ""bathrooms"": [32, 62, 46], ""other"": {""Living room"": 131}}","[""Yes"", ""Yes"", ""Yes"", ""No"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [83, 100, 131], ""bathrooms"": [45, 61, 81], ""other"": {""Living room"": 270}}","{""bedrooms"": [""Budget-friendly"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [""Mid-range"", ""High-end"", ""Budget-friendly""], ""other"": {""Living room"": ""Budget-friendly""}}",1375,Wigan
"[""Bedroom""]",3,0,"{""bedrooms"": [120, 11, 117], ""bathrooms"": [], ""other"": {}}","[""No"", ""Yes"", ""Yes""]","{""bedrooms"": [114, 159, 126], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {}}",1299,Stretford
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 181}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 163}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",962,Withington
"[""Bedroom"", ""Kitchen""]",1,0,"{""bedrooms"": [21], ""bathrooms"": [], ""other"": {""Kitchen"": 77}}","[""Yes"", ""Yes""]","{""bedrooms"": [125], ""bathrooms"": [], ""other"": {""Kitchen"": 298}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",689,Withington
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 153}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 211}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}",868,Rochdale
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 236}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 143}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}",1048,Tameside
"[""Bedroom"", ""Other"", ""Kitchen""]",3,0,"{""bedrooms"": [35, 19, 63], ""bathrooms"": [], ""other"": {""Other"": 123, ""Kitchen"": 138}}","[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""No""]","{""bedrooms"": [154, 176, 122], ""bathrooms"": [], ""other"": {""Other"": 108, ""Kitchen"": 188}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly"", ""Kitchen"": ""High-end""}}",1164,Levenshulme
"[""Bedroom"", ""Bathroom""]",2,2,"{""bedrooms"": [28, 132], ""bathrooms"": [27, 58], ""other"": {}}","[""Yes"", ""Yes"", ""No"", ""Yes""]","{""bedrooms"": [163, 149], ""bathrooms"": [63, 93], ""other"": {}}","{""bedrooms"": [""High-end"", ""High-end""], ""bathrooms"": [""Mid-range"", ""High-end""], ""other"": {}}",807,Ashton-under-Lyne
"[""Other"", ""Bedroom"", ""Living room""]",2,0,"{""bedrooms"": [17, 158], ""bathrooms"": [], ""other"": {""Other"": 12, ""Living room"": 133}}","[""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [155, 103], ""bathrooms"": [], ""other"": {""Other"": 190, ""Living room"": 127}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Other"": ""High-end"", ""Living room"": ""Budget-friendly""}}",1372,Rochdale
"[""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [6, 64, 69], ""other"": {}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [76, 97, 70], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""High-end"", ""High-end""], ""other"": {}}",1363,Bolton
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 171}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 271}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range""}}",1111,Bury
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 286}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}",797,Bolton
"[""Other"", ""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [21], ""other"": {""Other"": 56, ""Living room"": 159}}","[""Yes"", ""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [48], ""other"": {""Other"": 140, ""Living room"": 196}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Other"": ""Mid-range"", ""Living room"": ""Mid-range""}}",1651,Altrincham
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 85}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 255}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}",1194,Tameside
"[""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [74, 50, 52], ""other"": {}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [56, 48, 79], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""Budget-friendly"", ""High-end""], ""other"": {}}",926,Wigan
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 242}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 85}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}",750,Tameside
"[""Kitchen"", ""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [13], ""other"": {""Kitchen"": 135, ""Living room"": 247}}","[""Yes"", ""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [64], ""other"": {""Kitchen"": 282, ""Living room"": 187}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Kitchen"": ""High-end"", ""Living room"": ""High-end""}}",1087,Withington
"[""Living room"", ""Bathroom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [51, 46], ""other"": {""Living room"": 44}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [95, 100], ""other"": {""Living room"": 168}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""Budget-friendly""], ""other"": {""Living room"": ""Mid-range""}}",847,Bolton
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 258}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 228}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}",738,Levenshulme
"[""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [4, 50, 54], ""other"": {}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [60, 48, 66], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Mid-range"", ""Mid-range""], ""other"": {}}",612,Salford
"[""Bedroom""]",3,0,"{""bedrooms"": [98, 96, 124], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""No"", ""Yes""]","{""bedrooms"": [126, 102, 87], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly"", ""Mid-range""], ""bathrooms"": [], ""other"": {}}",1326,Oldham
