renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,location,renovation_cost,pre_renovation_cost
['Bedroom'],4,0,"{'bedrooms': [62, 188, 143, 45], 'bathrooms': [], 'other': {}}","['Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [90, 175, 168, 112], 'bathrooms': [], 'other': {}}","{'bedrooms': ['High-end', 'Mid-range', 'Mid-range', 'High-end'], 'bathrooms': [], 'other': {}}",2008,Cheadle,167468.59999999998,617460.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 254}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 101}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",1810,Altrincham,52947.11,646170.0
"['Bedroom', 'Other']",1,0,"{'bedrooms': [63], 'bathrooms': [], 'other': {'Other': 37}}","['Yes', 'Yes']","{'bedrooms': [173], 'bathrooms': [], 'other': {'Other': 118}}","{'bedrooms': ['High-end'], 'bathrooms': [], 'other': {'Other': 'Mid-range'}}",1072,Bury,49998.2,209576.0
"['Bathroom', 'Other']",0,1,"{'bedrooms': [], 'bathrooms': [29], 'other': {'Other': 173}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [74], 'other': {'Other': 279}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly'], 'other': {'Other': 'Budget-friendly'}}",1030,Didsbury,41951.46,432600.0
"['Bathroom', 'Kitchen']",0,1,"{'bedrooms': [], 'bathrooms': [41], 'other': {'Kitchen': 3}}","['No', 'Yes']","{'bedrooms': [], 'bathrooms': [52], 'other': {'Kitchen': 224}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly'], 'other': {'Kitchen': 'Mid-range'}}",1672,Stretford,75555.86,413820.0
"['Bedroom', 'Kitchen', 'Other']",4,0,"{'bedrooms': [120, 39, 149, 199], 'bathrooms': [], 'other': {'Kitchen': 40, 'Other': 99}}","['Yes', 'Yes', 'Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [153, 94, 106, 127], 'bathrooms': [], 'other': {'Kitchen': 193, 'Other': 137}}","{'bedrooms': ['Budget-friendly', 'Budget-friendly', 'High-end', 'Mid-range'], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly', 'Other': 'Mid-range'}}",1630,Sale,234040.24,452325.0
"['Other', 'Bathroom']",0,2,"{'bedrooms': [], 'bathrooms': [3, 19], 'other': {'Other': 89}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [47, 98], 'other': {'Other': 161}}","{'bedrooms': [], 'bathrooms': ['High-end', 'High-end'], 'other': {'Other': 'Budget-friendly'}}",1088,Tameside,70663.79999999999,179520.0
"['Kitchen', 'Bedroom']",1,0,"{'bedrooms': [69], 'bathrooms': [], 'other': {'Kitchen': 258}}","['Yes', 'No']","{'bedrooms': [90], 'bathrooms': [], 'other': {'Kitchen': 274}}","{'bedrooms': ['High-end'], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",837,Levenshulme,67084.08,206320.5
"['Living room', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 100, 'Other': 89}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 146, 'Other': 254}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range', 'Other': 'High-end'}}",1170,Wigan,55137.11,208845.0
"['Living room', 'Bedroom', 'Bathroom']",4,3,"{'bedrooms': [58, 39, 105, 70], 'bathrooms': [16, 15, 2], 'other': {'Living room': 276}}","['No', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [136, 154, 148, 106], 'bathrooms': [94, 70, 81], 'other': {'Living room': 109}}","{'bedrooms': ['High-end', 'Budget-friendly', 'High-end', 'Budget-friendly'], 'bathrooms': ['High-end', 'Budget-friendly', 'Budget-friendly'], 'other': {'Living room': 'Budget-friendly'}}",1736,Stockport,312403.39999999997,338520.0
"['Other', 'Living room', 'Bedroom']",3,0,"{'bedrooms': [178, 1, 50], 'bathrooms': [], 'other': {'Other': 206, 'Living room': 37}}","['Yes', 'No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [179, 184, 178], 'bathrooms': [], 'other': {'Other': 128, 'Living room': 92}}","{'bedrooms': ['High-end', 'High-end', 'Mid-range'], 'bathrooms': [], 'other': {'Other': 'Mid-range', 'Living room': 'Budget-friendly'}}",1312,Stockport,143138.86,255840.0
"['Living room', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 142, 'Other': 291}}","['No', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 104, 'Other': 208}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end', 'Other': 'High-end'}}",1233,Chorlton,65236.94,419220.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 147}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 251}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",847,Sale,30411.06,313390.0
"['Other', 'Kitchen', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [50], 'other': {'Other': 250, 'Kitchen': 77}}","['No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [77], 'other': {'Other': 201, 'Kitchen': 214}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly'], 'other': {'Other': 'Budget-friendly', 'Kitchen': 'Mid-range'}}",985,Trafford,67189.15999999999,326527.5
"['Living room', 'Bathroom', 'Kitchen']",0,3,"{'bedrooms': [], 'bathrooms': [1, 76, 55], 'other': {'Living room': 80, 'Kitchen': 62}}","['Yes', 'Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [95, 97, 64], 'other': {'Living room': 194, 'Kitchen': 195}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Mid-range', 'Budget-friendly'], 'other': {'Living room': 'Budget-friendly', 'Kitchen': 'Budget-friendly'}}",1048,Bury,114317.76,180780.0
"['Living room', 'Bathroom', 'Bedroom']",2,3,"{'bedrooms': [118, 130], 'bathrooms': [78, 37, 47], 'other': {'Living room': 203}}","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [143, 124], 'bathrooms': [95, 61, 91], 'other': {'Living room': 264}}","{'bedrooms': ['High-end', 'Budget-friendly'], 'bathrooms': ['Budget-friendly', 'Budget-friendly', 'High-end'], 'other': {'Living room': 'High-end'}}",1670,Stretford,245105.55,413325.0
"['Other', 'Kitchen', 'Bathroom']",0,3,"{'bedrooms': [], 'bathrooms': [10, 11, 56], 'other': {'Other': 62, 'Kitchen': 76}}","['Yes', 'Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [], 'bathrooms': [92, 86, 57], 'other': {'Other': 138, 'Kitchen': 220}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'Mid-range', 'Budget-friendly'], 'other': {'Other': 'High-end', 'Kitchen': 'Budget-friendly'}}",1565,Tameside,136998.26,258225.0
['Bedroom'],3,0,"{'bedrooms': [123, 69, 198], 'bathrooms': [], 'other': {}}","['Yes', 'Yes', 'No']","{'bedrooms': [102, 177, 123], 'bathrooms': [], 'other': {}}","{'bedrooms': ['High-end', 'Budget-friendly', 'Budget-friendly'], 'bathrooms': [], 'other': {}}",1051,Wigan,75931.45,165532.5
['Bathroom'],0,1,"{'bedrooms': [], 'bathrooms': [26], 'other': {}}",['No'],"{'bedrooms': [], 'bathrooms': [89], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {}}",416,Manchester City Centre,26102.25,145600.0
"['Other', 'Bathroom', 'Kitchen']",0,2,"{'bedrooms': [], 'bathrooms': [70, 16], 'other': {'Other': 154, 'Kitchen': 52}}","['No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [99, 39], 'other': {'Other': 290, 'Kitchen': 89}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Budget-friendly'], 'other': {'Other': 'Budget-friendly', 'Kitchen': 'Budget-friendly'}}",1343,Ashton-under-Lyne,99582.95,216558.75
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [25, 14], 'other': {}}","['No', 'Yes']","{'bedrooms': [], 'bathrooms': [60, 52], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'High-end'], 'other': {}}",1587,Altrincham,59912.28,566559.0
"['Bathroom', 'Living room', 'Bedroom']",1,2,"{'bedrooms': [47], 'bathrooms': [49, 54], 'other': {'Living room': 78}}","['No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [117], 'bathrooms': [86, 56], 'other': {'Living room': 255}}","{'bedrooms': ['Mid-range'], 'bathrooms': ['High-end', 'High-end'], 'other': {'Living room': 'High-end'}}",2210,Altrincham,173964.66999999998,696150.0
"['Kitchen', 'Bathroom', 'Living room']",0,3,"{'bedrooms': [], 'bathrooms': [58, 6, 30], 'other': {'Kitchen': 200, 'Living room': 171}}","['Yes', 'Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [61, 87, 68], 'other': {'Kitchen': 116, 'Living room': 101}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'Mid-range', 'High-end'], 'other': {'Kitchen': 'Budget-friendly', 'Living room': 'Mid-range'}}",1178,Trafford,140851.5,344565.0
"['Bathroom', 'Living room']",0,3,"{'bedrooms': [], 'bathrooms': [75, 10, 69], 'other': {'Living room': 83}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [89, 76, 98], 'other': {'Living room': 198}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'High-end', 'Budget-friendly'], 'other': {'Living room': 'High-end'}}",1483,Cheadle,113065.17,456022.5
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 29}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 300}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1251,Rochdale,25876.67,237690.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 168}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 155}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range'}}",850,Tameside,22548.8,205700.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 127}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 257}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",1201,Didsbury,30130.63,504420.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 101}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 105}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",508,Manchester City Centre,25693.14,177800.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 47}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 117}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",970,Prestwich,22631.88,320100.0
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [45, 12], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [81, 50], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Budget-friendly'], 'other': {}}",1235,Stockport,56191.58,272935.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 300}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 129}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",1326,Bolton,32295.84,278460.0
['Bedroom'],2,0,"{'bedrooms': [62, 152], 'bathrooms': [], 'other': {}}","['No', 'Yes']","{'bedrooms': [136, 185], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range', 'Mid-range'], 'bathrooms': [], 'other': {}}",1663,Bury,81279.0,286867.5
"['Other', 'Bedroom']",1,0,"{'bedrooms': [13], 'bathrooms': [], 'other': {'Other': 263}}","['Yes', 'No']","{'bedrooms': [138], 'bathrooms': [], 'other': {'Other': 196}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': [], 'other': {'Other': 'High-end'}}",1851,Altrincham,85922.52,583065.0
['Bathroom'],0,3,"{'bedrooms': [], 'bathrooms': [33, 67, 36], 'other': {}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [58, 72, 53], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Mid-range', 'Mid-range'], 'other': {}}",1187,Levenshulme,85647.2,258172.5
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 163}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 238}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",1136,Rochdale,25645.68,215840.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 32}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 297}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",927,Levenshulme,22631.88,295713.0
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [8, 27], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [80, 93], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Mid-range'], 'other': {}}",917,Prestwich,40476.88,275100.0
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [43, 40], 'other': {}}","['Yes', 'No']","{'bedrooms': [], 'bathrooms': [64, 44], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'High-end'], 'other': {}}",977,Stockport,47307.09,215917.0
['Bedroom'],1,0,"{'bedrooms': [0], 'bathrooms': [], 'other': {}}",['Yes'],"{'bedrooms': [95], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {}}",847,Rochdale,22720.2,177023.0
"['Bathroom', 'Living room', 'Bedroom']",2,3,"{'bedrooms': [173, 190], 'bathrooms': [30, 50, 69], 'other': {'Living room': 246}}","['No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [151, 158], 'bathrooms': [75, 90, 45], 'other': {'Living room': 208}}","{'bedrooms': ['Budget-friendly', 'High-end'], 'bathrooms': ['Budget-friendly', 'High-end', 'Budget-friendly'], 'other': {'Living room': 'High-end'}}",1696,Wigan,245970.95,267120.0
"['Bedroom', 'Living room', 'Kitchen']",1,0,"{'bedrooms': [72], 'bathrooms': [], 'other': {'Living room': 99, 'Kitchen': 128}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [130], 'bathrooms': [], 'other': {'Living room': 162, 'Kitchen': 204}}","{'bedrooms': ['High-end'], 'bathrooms': [], 'other': {'Living room': 'Mid-range', 'Kitchen': 'Mid-range'}}",872,Tameside,72088.3,143880.0
"['Bathroom', 'Bedroom']",3,1,"{'bedrooms': [1, 55, 120], 'bathrooms': [9], 'other': {}}","['Yes', 'Yes', 'Yes', 'No']","{'bedrooms': [184, 170, 175], 'bathrooms': [40], 'other': {}}","{'bedrooms': ['Mid-range', 'Mid-range', 'High-end'], 'bathrooms': ['High-end'], 'other': {}}",1342,Tameside,116095.03,221430.0
"['Living room', 'Other', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 99, 'Other': 222, 'Kitchen': 210}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 122, 'Other': 275, 'Kitchen': 263}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end', 'Other': 'High-end', 'Kitchen': 'Mid-range'}}",1689,Bolton,130725.39,266017.5
['Bathroom'],0,3,"{'bedrooms': [], 'bathrooms': [6, 71, 40], 'other': {}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [38, 67, 68], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end', 'High-end', 'Budget-friendly'], 'other': {}}",495,Manchester City Centre,70885.20999999999,129937.5
"['Living room', 'Bedroom', 'Bathroom']",3,1,"{'bedrooms': [87, 46, 109], 'bathrooms': [66], 'other': {'Living room': 120}}","['Yes', 'Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [81, 103, 191], 'bathrooms': [56], 'other': {'Living room': 126}}","{'bedrooms': ['Budget-friendly', 'High-end', 'Budget-friendly'], 'bathrooms': ['High-end'], 'other': {'Living room': 'Mid-range'}}",1599,Stretford,145769.73,395752.5
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 71}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 179}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1096,Chorlton,23796.42,482240.0
"['Bathroom', 'Living room', 'Kitchen']",0,2,"{'bedrooms': [], 'bathrooms': [70, 30], 'other': {'Living room': 105, 'Kitchen': 192}}","['No', 'Yes', 'No', 'No']","{'bedrooms': [], 'bathrooms': [54, 87], 'other': {'Living room': 183, 'Kitchen': 119}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Budget-friendly'], 'other': {'Living room': 'Mid-range', 'Kitchen': 'Budget-friendly'}}",1724,Sale,160514.15999999997,478410.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 135}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 293}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",804,Tameside,30411.06,176880.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 80}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 136}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",2007,Altrincham,35779.14,842940.0
"['Other', 'Kitchen', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [63], 'other': {'Other': 106, 'Kitchen': 115}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [69], 'other': {'Other': 277, 'Kitchen': 151}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly'], 'other': {'Other': 'Budget-friendly', 'Kitchen': 'Budget-friendly'}}",1118,Stretford,73937.26999999999,276705.0
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [36, 59], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [76, 87], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'Mid-range'], 'other': {}}",843,Stretford,43126.38,278190.0
"['Other', 'Kitchen', 'Bedroom']",3,0,"{'bedrooms': [177, 55, 174], 'bathrooms': [], 'other': {'Other': 217, 'Kitchen': 10}}","['No', 'Yes', 'Yes', 'No', 'No']","{'bedrooms': [176, 146, 115], 'bathrooms': [], 'other': {'Other': 142, 'Kitchen': 218}}","{'bedrooms': ['Budget-friendly', 'Budget-friendly', 'High-end'], 'bathrooms': [], 'other': {'Other': 'High-end', 'Kitchen': 'High-end'}}",1469,Tameside,151716.23,242385.0
"['Living room', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 4, 'Other': 92}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 130, 'Other': 125}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range', 'Other': 'High-end'}}",1260,Prestwich,55137.11,321300.0
"['Bedroom', 'Living room', 'Bathroom']",1,1,"{'bedrooms': [59], 'bathrooms': [72], 'other': {'Living room': 290}}","['Yes', 'No', 'Yes']","{'bedrooms': [82], 'bathrooms': [75], 'other': {'Living room': 258}}","{'bedrooms': ['High-end'], 'bathrooms': ['High-end'], 'other': {'Living room': 'High-end'}}",1285,Ashton-under-Lyne,100842.42,207206.25
['Bathroom'],0,1,"{'bedrooms': [], 'bathrooms': [62], 'other': {}}",['Yes'],"{'bedrooms': [], 'bathrooms': [84], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {}}",1391,Bury,32161.28,319930.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 256}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 282}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",1379,Oldham,32295.84,275800.0
"['Kitchen', 'Other', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [46], 'other': {'Kitchen': 50, 'Other': 127}}","['No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [52], 'other': {'Kitchen': 104, 'Other': 284}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly'], 'other': {'Kitchen': 'Mid-range', 'Other': 'High-end'}}",1153,Oldham,79723.12,172950.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 118}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 279}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",900,Salford,22631.88,277200.0
['Bedroom'],1,0,"{'bedrooms': [26], 'bathrooms': [], 'other': {}}",['Yes'],"{'bedrooms': [167], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': [], 'other': {}}",1359,Sale,25426.47,502830.0
"['Bathroom', 'Kitchen', 'Living room']",0,2,"{'bedrooms': [], 'bathrooms': [21, 67], 'other': {'Kitchen': 284, 'Living room': 69}}","['No', 'Yes', 'No', 'Yes']","{'bedrooms': [], 'bathrooms': [69, 62], 'other': {'Kitchen': 217, 'Living room': 141}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Mid-range'], 'other': {'Kitchen': 'Mid-range', 'Living room': 'Mid-range'}}",947,Chorlton,91931.08,284100.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 59}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 231}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly'}}",704,Didsbury,21638.8,325248.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 121}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 172}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1474,Trafford,25876.67,574860.0
"['Kitchen', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [29], 'other': {'Kitchen': 246}}","['No', 'Yes']","{'bedrooms': [], 'bathrooms': [90], 'other': {'Kitchen': 266}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly'], 'other': {'Kitchen': 'High-end'}}",1422,Stockport,63250.25,314262.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 214}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 162}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",1299,Cheadle,26225.31,532590.0
"['Other', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [12], 'other': {'Other': 182}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [35], 'other': {'Other': 165}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {'Other': 'High-end'}}",1252,Stockport,62944.39,276692.0
"['Living room', 'Bedroom']",1,0,"{'bedrooms': [69], 'bathrooms': [], 'other': {'Living room': 174}}","['Yes', 'Yes']","{'bedrooms': [134], 'bathrooms': [], 'other': {'Living room': 208}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1488,Trafford,54156.14,493272.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 24}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 87}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",1249,Chorlton,34563.3,499600.0
"['Other', 'Kitchen', 'Bedroom']",2,0,"{'bedrooms': [43, 137], 'bathrooms': [], 'other': {'Other': 212, 'Kitchen': 163}}","['Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [132, 106], 'bathrooms': [], 'other': {'Other': 198, 'Kitchen': 287}}","{'bedrooms': ['High-end', 'Mid-range'], 'bathrooms': [], 'other': {'Other': 'Budget-friendly', 'Kitchen': 'Mid-range'}}",1733,Stockport,158555.95,337935.0
"['Bathroom', 'Other', 'Bedroom']",1,1,"{'bedrooms': [17], 'bathrooms': [47], 'other': {'Other': 10}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [183], 'bathrooms': [56], 'other': {'Other': 238}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': ['High-end'], 'other': {'Other': 'Mid-range'}}",1557,Altrincham,86371.45000000001,490455.0
"['Bedroom', 'Kitchen']",1,0,"{'bedrooms': [90], 'bathrooms': [], 'other': {'Kitchen': 96}}","['Yes', 'No']","{'bedrooms': [131], 'bathrooms': [], 'other': {'Kitchen': 184}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",1670,Stretford,87851.59,413325.0
"['Living room', 'Bedroom', 'Kitchen']",1,0,"{'bedrooms': [89], 'bathrooms': [], 'other': {'Living room': 28, 'Kitchen': 201}}","['No', 'Yes', 'Yes']","{'bedrooms': [166], 'bathrooms': [], 'other': {'Living room': 135, 'Kitchen': 289}}","{'bedrooms': ['High-end'], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly', 'Kitchen': 'Mid-range'}}",1509,Wigan,87680.42,237667.5
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 178}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 137}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",895,Bury,24036.03,226435.0
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [23, 59], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [85, 59], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Mid-range'], 'other': {}}",1029,Levenshulme,42686.58,298410.0
"['Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 0, 'Living room': 47}}","['Yes', 'No']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 219, 'Living room': 197}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end', 'Living room': 'Mid-range'}}",1013,Cheadle,55538.44,353030.5
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 59}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 155}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",864,Bury,25693.14,198720.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 202}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 167}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",758,Withington,24730.79,266816.0
